x,y,z,r,g,b
22200,19600,384,255,0,0
22200,23800,542,255,0,0
22300,2700,56,255,0,0
22300,7000,41,255,0,0
22300,9100,229,255,0,0
22300,10900,295,255,0,0
22300,21200,338,255,0,0
22400,4100,73,255,0,0
22400,4500,74,255,0,0
22400,16400,156,255,0,0
22500,5100,83,255,0,0
22500,29600,0,255,0,0
22600,1000,13,255,0,0
22600,1900,42,255,0,0
22600,6400,46,255,0,0
22600,18100,352,255,0,0
22600,28100,0,255,0,0
22700,10900,296,255,0,0
22700,17200,210,255,0,0
22700,24500,528,255,0,0
22800,2600,57,255,0,0
22800,3400,74,255,0,0
22800,21900,344,255,0,0
22900,300,45,255,0,0
22900,1900,42,255,0,0
22900,6800,10,255,0,0
22900,28900,0,255,0,0
23000,3000,60,255,0,0
23000,6500,38,255,0,0
23000,13500,358,255,0,0
23000,13700,359,255,0,0
23000,24300,538,255,0,0
23100,800,20,255,0,0
23100,8500,253,255,0,0
23100,17200,209,255,0,0
23100,20400,343,255,0,0
23100,24900,527,255,0,0
23200,0,45,255,0,0
23200,6800,36,255,0,0
23200,11100,347,255,0,0
23200,11700,366,255,0,0
23200,11900,377,255,0,0
23300,2000,36,255,0,0
23300,3700,72,255,0,0
23300,8900,256,255,0,0
23300,12300,364,255,0,0
23300,13300,362,255,0,0
23400,12900,362,255,0,0
23400,17100,212,255,0,0
23400,18100,352,255,0,0
23400,25100,535,255,0,0
23500,700,42,255,0,0
23500,27300,451,255,0,0
23600,900,26,255,0,0
23600,3400,60,255,0,0
23600,7400,133,255,0,0
23600,7800,138,255,0,0
23600,10600,260,255,0,0
23600,10700,262,255,0,0
23600,11100,305,255,0,0
23600,12100,388,255,0,0
23600,14000,361,255,0,0
23600,18400,349,255,0,0
23600,19000,345,255,0,0
23700,2200,52,255,0,0
23700,6900,116,255,0,0
23700,7100,120,255,0,0
23700,8700,255,255,0,0
23700,9300,258,255,0,0
23700,11500,365,255,0,0
23700,12700,394,255,0,0
23700,15300,174,255,0,0
23700,19300,345,255,0,0
23700,22300,358,255,0,0
23700,26400,509,255,0,0
23800,600,46,255,0,0
23800,3900,76,255,0,0
23800,6700,124,255,0,0
23800,9900,258,255,0,0
23800,11600,383,255,0,0
23800,13100,391,255,0,0
23800,17100,209,255,0,0
23800,19100,331,255,0,0
23800,22800,360,255,0,0
23800,25900,518,255,0,0
23800,27900,435,255,0,0
23900,800,28,255,0,0
23900,19400,334,255,0,0
23900,19800,347,255,0,0
23900,21300,296,255,0,0
23900,21400,296,255,0,0
23900,21900,304,255,0,0
24000,8200,170,255,0,0
24100,500,48,255,0,0
24100,5600,93,255,0,0
24200,2400,35,255,0,0
24200,3800,66,255,0,0
24200,4100,80,255,0,0
24200,5700,89,255,0,0
24200,19200,314,255,0,0
24200,21100,286,255,0,0
24200,22300,332,255,0,0
24200,24000,364,255,0,0
24300,17300,207,255,0,0
24300,22600,359,255,0,0
24400,6600,96,255,0,0
24400,8800,255,255,0,0
24400,17800,213,255,0,0
24400,19500,311,255,0,0
24400,22100,307,255,0,0
24400,26200,527,255,0,0
24500,4400,78,255,0,0
24500,4600,84,255,0,0
24500,15700,203,255,0,0
24500,20700,297,255,0,0
24500,22000,299,255,0,0
24500,22300,328,255,0,0
24500,26800,530,255,0,0
24500,28300,419,255,0,0
24600,16200,206,255,0,0
24600,24000,329,255,0,0
24700,2100,0,255,0,0
24700,13100,459,255,0,0
24700,15400,199,255,0,0
24700,15500,201,255,0,0
24700,17900,213,255,0,0
