X,Y,Z,Red,Green,Blue,TreeType,RoadAttribute,Moisture,Roughness,Height,Slope
250792,165651,27,0,255,0,1,0.0117647,0.168627,0.258824,27,0.524876
251002,167511,66,0,255,0,1,0.207843,0.0823529,0.266667,66,0.524876
252202,170481,178,0,255,0,1,0,0.164706,0.227451,178,0.589049
254482,164001,90,0,255,0,1,0,0.278431,0.341176,90,0.59288
254812,170151,176,255,0,0,0,0,0.203922,0.254902,176,0.524876
255982,163911,304,0,255,0,1,0.0784314,0.0823529,0.270588,304,0.589049
256102,166581,815,0,255,0,1,0,0.0627451,0.254902,815,0.524876
256342,175371,1716,0,255,0,1,0.00784314,0.0941176,0.247059,1716,0.524876
256552,173211,1618,255,0,0,0,0,0.0627451,0.254902,1618,0.524876
257092,174591,1664,0,255,0,1,0.00392157,0.0588235,0.243137,1664,0.59288
257122,171621,1024,0,255,0,1,0,0.0745098,0.243137,1024,0.328526
257752,163701,281,255,0,0,0,0,0.0588235,0.290196,281,0.524876
258052,161331,38,255,0,0,0,0,0.0627451,0.266667,38,0.589049
258622,170211,1460,255,0,0,0,0,0.0588235,0.262745,1460,0.524876
258652,159411,63,0,255,0,1,0.133333,0.0509804,0.27451,63,0.59288
258712,164691,584,0,255,0,1,0,0.00392157,0.266667,584,0.589049
261292,159741,217,255,0,0,0,0.00392157,0.14902,0.25098,217,0.589049
261532,161151,232,0,255,0,1,0.0156863,0.0941176,0.239216,232,0.524876
261772,158151,24,0,255,0,1,0.482353,0.0588235,0.286275,24,0.528707
262342,155091,144,255,0,0,0,0,0.109804,0.282353,144,0.589049
262582,158391,26,0,255,0,1,0,0.0784314,0.254902,26,0.524876
262702,158751,36,255,0,0,0,0,0.0627451,0.254902,36,0.524876
262912,155931,142,0,255,0,1,0.141176,0.0588235,0.313725,142,0.392699
263272,160791,448,255,0,0,0,0,0.0627451,0.294118,448,0.460703
264862,161031,826,255,0,0,0,0,0.0588235,0.258824,826,0.460703
265132,159591,1757,0,255,0,1,0,0.0627451,0.196078,1757,0.589049
265552,150951,24,0,255,0,1,0,0.129412,0.290196,24,0.589049
266602,170691,169,0,255,0,1,0,0.156863,0.247059,169,0.589049
266722,168171,175,0,255,0,1,0.00392157,0.00392157,0.254902,175,0.589049
266812,168231,170,255,0,0,0,0,0.00784314,0.247059,170,0.589049
266902,158181,1292,0,255,0,1,0.129412,0.14902,0.262745,1292,0.460703
266932,165711,172,255,0,0,0,0,0.0431373,0.25098,172,0.589049
266932,165951,168,255,0,0,0,0,0.0392157,0.270588,168,0.524876
266992,165951,168,255,0,0,0,0,0.027451,0.270588,168,0.524876
267112,168531,174,255,0,0,0,0,0.00784314,0.2,174,0.524876
267172,168501,171,0,255,0,1,0,0.00784314,0.207843,171,0.589049
267322,171171,167,0,255,0,1,0,0.027451,0.207843,167,0.19635
